"","id1","n_varieties","share_area_local","share_area_improved","xx2_xx3","xx2","per_hib_bush","per_hib_climbers","yield_pure_i_b","yield_pure_i_c","yield_pure_local_b","yield_pure_local_c","yield_pure_hib_b","yield_pure_hib_c","d","d8","d10","d11","d12","d13","d14","d15","d16","d17","d18","d19","d22","c4_1","c4_2","c4_3","c4_4","c4_5","c4_6","c4_7","bean_area","i_l_b_area","cor_c","area_irrigated_land","area_manure_land","area_compost_land","area_fertilizer_land","area_pesticide_land","bush","climber","area_no_title","area_own_title","area_renting","area_share_croping","renting","own_title","own_notitle","share_croping","share_area_imp_var","cor_c.1","mean_p_beans_year_2015","mean_p_maize_year_2015","mean_p_sorghum_year_2015","mean_p_sp_year_2015","hhid"
"1497","57550707030001_2",4,100,0,211.1111111475,100,0,0,0,0,0,0,0,0,40,5,65,2,10,0,3,0,1,1,0,1,0,2,3,33,0,0,0,0,900,45000,2250,0,0,2250,2250,0,1,0,2250,0,0,0,0,0,1,0,0,2250,403.51798245,209.9997101,294.4372406,57.6446762,"57550707030001"
"1498","57550707030001_3",1,0,100,6.666666667,100,100,0,0,0,0,0,6.666666667,0,20,5,0,1,10,0,3,0,1,1,0,1,0,3,8,33,0,0,0,0,300,30000,1500,0,0,1500,1500,0,1,0,1500,0,0,0,0,0,1,0,100,1500,403.51798245,209.9997101,294.4372406,57.6446762,"57550707030001"
"1499","57550707030001_4",1,0,100,0,100,0,0,0,0,0,0,0,0,100,5,0,1,90,0,2,0,1,0,0,1,0,3,0,0,0,0,0,0,1500,150000,1500,0,0,1500,0,0,1,0,1500,0,0,0,0,0,1,0,100,1500,403.51798245,209.9997101,294.4372406,57.6446762,"57550707030001"
"1500","57550707030001_5",1,100,0,56.66666667,100,0,0,0,0,56.66666667,0,0,0,100,5,0,1,90,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,3000,3e+05,3000,0,3000,0,0,0,1,0,3000,0,0,0,0,0,1,0,0,3000,403.51798245,209.9997101,294.4372406,57.6446762,"57550707030001"
"1501","57550707030002_2",9,74,26,162.144869468728,100,0,0,0,0,0,0,0,0,60,3,75,3,20,0,2,0,1,0,0,0,0,3,8,19,37,0,0,0,2250,75000,3750,0,0,0,0,0,0.666666666666667,0.333333333333333,0,3750,0,0,0,1,0,0,8.66666666666667,3750,403.51798245,209.9997101,294.4372406,57.6446762,"57550707030002"
"1502","57550707030015_1",1,0,100,80,100,0,0,80,0,0,0,0,0,100,2,100,1,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,150,15000,150,0,150,0,0,0,1,0,0,150,0,0,0,1,0,0,100,150,403.51798245,209.9997101,294.4372406,57.6446762,"57550707030015"
"1503","57550707030015_2",1,100,0,16,100,0,0,0,0,16,0,0,0,25,2,30,1,30,0,4,0,0,0,1,0,0,3,8,21,33,0,0,0,1250,125000,5000,0,5000,0,0,0,1,0,0,5000,0,0,0,1,0,0,0,5000,403.51798245,209.9997101,294.4372406,57.6446762,"57550707030015"
"1504","57550707030023_1",1,0,100,8.333333333,100,0,0,8.333333333,0,0,0,0,0,50,2,50,1,10,0,1,0,0,0,1,1,0,3,8,33,0,0,0,0,3000,3e+05,6000,0,6000,6000,0,0,1,0,0,6000,0,0,0,1,0,0,100,6000,403.51798245,209.9997101,294.4372406,57.6446762,"57550707030023"
"1505","57551003090010_1",4,25,75,82.5090125927562,100,0,75,0,0,0,0,0,0,100,4,100,2,10,0,1,1,0,0,1,1,0,3,0,0,0,0,0,0,1000,50000,1000,1000,1000,1000,0,0,0.5,0.5,0,1000,0,0,0,1,0,0,37.5,1000,389.52134705,214.1323738,298.2847748,57.8279762,"57551003090010"
"1506","57551003090017_2",9,34.065934543,65.93406677,29.999999205341,100.000001313,0,0,0,0,0,0,0,0,80,3,0,3,8,0,3,0,0,0,1,0,0,2,3,0,0,0,0,0,480,16000.00021008,600,0,600,0,0,0,0.333333333333333,0.666666666666667,600,0,0,0,0,0,1,0,21.9780222566667,600,390.7205124,208.10289765,306.8503265,57.8178215,"57551003090017"
"1507","57551003090026_1",1,0,100,100.5714286,100,100,0,0,0,0,0,100.5714286,0,70,4,70,1,1,0,4,0,0,0,1,0,0,2,3,0,0,0,0,0,437.5,43750,625,0,625,0,0,0,1,0,0,625,0,0,0,1,0,0,100,625,390.478363,208.30394745,306.8566971,57.8018494,"57551003090026"
"1508","57551003090026_2",1,0,100,70.54673721,100,0,0,70.54673721,0,0,0,0,0,70,4,50,1,2,0,4,0,0,0,1,0,0,2,3,0,0,0,0,0,1417.5,141750,2025,0,2025,0,0,0,1,0,0,0,0,2025,0,0,0,1,100,2025,390.478363,208.30394745,306.8566971,57.8018494,"57551003090026"
"1509","57560204030014_1",1,100,0,80,100,0,0,0,0,80,0,0,0,100,5,0,1,30,0,3,0,1,0,1,1,0,3,0,0,0,0,0,0,250,25000,250,0,250,250,0,0,1,0,250,0,0,0,0,0,1,0,0,250,275.11709595,177.37513735,277.10321805,100.5395126,"57560204030014"
"1510","57560204030014_2",1,0,100,100,100,0,0,100,0,0,0,0,0,100,5,0,1,30,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,600,60000,600,0,0,0,0,0,1,0,600,0,0,0,0,0,1,0,100,600,275.11709595,177.37513735,277.10321805,100.5395126,"57560204030014"
"1511","57560204030014_3",1,100,0,266.6666667,100,0,0,0,0,266.6666667,0,0,0,100,5,0,1,15,0,3,0,0,0,1,1,0,3,0,0,0,0,0,0,75,7500,75,0,75,75,0,0,1,0,75,0,0,0,0,0,1,0,0,75,275.11709595,177.37513735,277.10321805,100.5395126,"57560204030014"
"1512","57560204030014_4",1,0,100,60,100,100,0,0,0,0,0,60,0,100,5,0,1,20,0,3,0,0,0,1,1,0,3,0,0,0,0,0,0,500,50000,500,0,500,500,0,0,1,0,500,0,0,0,0,0,1,0,100,500,275.11709595,177.37513735,277.10321805,100.5395126,"57560204030014"
"1513","57560204030015_1",4,99.99999619,0,176.666666667839,99.99999619,0,0,0,0,0,0,0,0,75,3,0,2,30,0,4,0,1,0,0,1,0,3,8,0,0,0,0,0,600,29999.998857,800,0,0,800,0,0,0.5,0.5,0,800,0,0,0,1,0,0,0,800,275.11709595,177.37513735,277.10321805,100.5395126,"57560204030015"
"1514","57560204030015_3",4,100.00000191,0,211.48432606547,100.00000191,0,0,0,0,0,0,0,0,30,3,0,2,20,0,3,0,1,0,0,1,0,3,37,0,0,0,0,0,192,9600.00018336,640,0,0,640,0,0,0.5,0.5,0,640,0,0,0,1,0,0,0,640,275.11709595,177.37513735,277.10321805,100.5395126,"57560204030015"
"1515","57560603040016_1",1,100,0,11.50188012,100,0,0,0,0,11.50188012,0,0,0,75,3,25,1,10,0,3,0,0,0,1,0,0,2,3,0,0,0,0,0,1130.25,113025,1507,0,1507,0,0,0,1,0,0,1507,0,0,0,1,0,0,0,1507,0,0,0,0,"57560603040016"
"1516","57560603040016_2",1,100,0,64.22924901,100,0,0,0,0,64.22924901,0,0,0,40,3,100,1,1,0,3,0,0,0,1,0,0,3,17,0,0,0,0,0,202.4,20240,506,0,506,0,0,0,1,0,0,506,0,0,0,1,0,0,0,506,0,0,0,0,"57560603040016"
"1517","57560603040016_3",1,100,0,3.231821007,100,0,0,0,0,3.231821007,0,0,0,50,3,75,1,2,0,3,0,0,0,1,1,0,3,17,21,0,0,0,0,4022.5,402250,8045,0,8045,8045,0,0,1,0,0,8045,0,0,0,1,0,0,0,8045,0,0,0,0,"57560603040016"
"1518","57560603040022_1",1,100,0,266.6666667,100,0,0,0,0,266.6666667,0,0,0,100,4,0,1,60,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,375,37500,375,0,0,375,0,0,1,0,0,0,375,0,1,0,0,0,0,375,388.02947995,158.1000099,275.3197479,110.7709045,"57560603040022"
"1519","57560603040022_3",1,0,100,83.33333333,100,0,0,83.33333333,0,0,0,0,0,100,4,0,1,30,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,600,60000,600,0,0,0,0,0,1,0,0,0,600,0,1,0,0,0,100,600,388.02947995,158.1000099,275.3197479,110.7709045,"57560603040022"
