vill,n_total,n_adopt,n_nonad,s_adopt,s_nonad,b_adopt,b_nonad,pb_adopt,pb_nonad,ps_adopt,ps_nonad,dist,p1,weight_vill
Sunzu,169,39,130,6,6,9,9,.2307692307692308,.0692307692307692,.6666666666666666,.6666666666666666,26,.0131897780856285,75.81628693886773
Ruhuha,123,15,108,6,6,9,9,.6,.0833333333333333,.6666666666666666,.6666666666666666,26,.0092186621028587,108.4756105433022
Kaburanjwiri,73,10,63,6,6,9,9,.9,.1428571428571429,.6666666666666666,.6666666666666666,26,.0053184589054954,188.0243916083907
Kangoga,94,16,78,6,6,9,9,.5625,.1153846153846154,.6666666666666666,.6666666666666666,26,.0078713191801332,127.0435078435071
Kumukenke,170,21,149,6,6,9,9,.4285714285714286,.0604026845637584,.6666666666666666,.6666666666666666,27,.0093608307737312,106.8281249999996
Buriza,195,24,171,6,6,9,9,.375,.0526315789473684,.6666666666666666,.6666666666666666,27,.0235424893959339,42.47639165009939
Kigarama,235,50,185,6,6,9,9,.18,.0486486486486487,.6666666666666666,.6666666666666666,27,.0126839256984057,78.83994464944671
Buhoro,274,77,197,6,6,9,9,.1168831168831169,.0456852791878173,.6666666666666666,.6666666666666666,28,.0179574489237958,55.68719723183389
Nkomane,171,39,132,6,6,9,9,.2307692307692308,.0681818181818182,.6666666666666666,.6666666666666666,28,.0082393000944475,121.3695324283557
Musenyi,167,39,128,6,6,9,9,.2307692307692308,.0703125,.6666666666666666,.6666666666666666,28,.012168812447184,82.17728758169918
Sakinnyaga,207,35,172,6,6,9,9,.2571428571428571,.0523255813953488,.6666666666666666,.6666666666666666,31,.0164637106226002,60.73964872944692
Ntarabana,104,50,54,6,6,9,9,.18,.1666666666666667,.6666666666666666,.6666666666666666,31,.0090808807469947,110.12147696477
Bwenda,93,11,82,6,6,9,9,.8181818181818182,.1097560975609756,.6666666666666666,.6666666666666666,31,.0078257996681418,127.7824685534591
Uwiraro,126,9,117,6,6,9,9,1,.0769230769230769,.6666666666666666,.6666666666666666,31,.0101144769295795,98.86818734793181
Rushishi,135,35,100,6,6,9,9,.2571428571428571,.09,.6666666666666666,.6666666666666666,31,.0117386995022127,85.18831236897272
Nkomero(West),61,12,49,6,6,9,9,.75,.1836734693877551,.6666666666666666,.6666666666666666,32,.0121247595394115,82.47586244902445
Rusisiro,13,0,13,0,12,0,13,,1,,.9230769230769231,32,.0068955978423193,145.0200581395354
Karumbi,0,0,0,0,0,0,0,,,,,32,.0085045706721938,117.5838309239477
Kavumu,35,3,32,3,9,3,12,1,.375,1,.75,32,.0097113002945997,102.9728223475989
Ryarukara,6,1,5,1,5,1,5,1,1,1,1,33,.0040384692398156,247.6185754099395
Burevu,132,7,125,6,6,7,9,1,.072,.8571428571428571,.6666666666666666,33,.0094958601044312,105.3090493122739
Nyabantu,116,2,114,2,10,2,13,1,.1140350877192982,1,.7692307692307693,33,.0074766254845234,133.7501794185088
Busasamana,2,0,2,0,2,0,2,,1,,1,34,.008835941220726,113.1741344831893
Karambi(West),102,0,102,0,12,0,15,,.1470588235294118,,.8,34,.013775719383494,72.59149029982385
Gakamba,2,0,2,0,2,0,2,,1,,1,34,.0106448740690636,93.94192862330095
Musekera,73,0,73,0,12,0,15,,.2054794520547945,,.8,34,.0051485011837301,194.2312848562847
Rwankenke,175,19,156,6,6,9,9,.4736842105263158,.0576923076923077,.6666666666666666,.6666666666666666,35,.0121350787358918,82.40572820037089
Butare,391,17,374,6,6,9,9,.5294117647058824,.0240641711229947,.6666666666666666,.6666666666666666,35,.021170721777335,47.23504519673875
Gaseke,7,0,7,0,7,0,7,,1,,1,35,.0097185695503895,102.8958011583013
Kibuga,175,8,167,6,6,8,9,1,.0538922155688623,.75,.6666666666666666,35,.0085103149576384,117.5044642857141
Kabonabose,263,14,249,6,6,9,9,.6428571428571429,.036144578313253,.6666666666666666,.6666666666666666,36,.0198939381795838,50.26656818639621
Sano,118,2,116,2,10,2,13,1,.1120689655172414,1,.7692307692307693,36,.0127434479442174,78.4716981132073
Mukenke,104,1,103,1,11,1,14,1,.1359223300970874,1,.7857142857142857,36,.0075044749004836,133.2538269846913
Ruganzu,153,11,142,6,6,9,9,.8181818181818182,.0633802816901408,.6666666666666666,.6666666666666666,36,.0111151184846785,89.96755197692565
Ruhinga,130,10,120,6,6,9,9,.9,.075,.6666666666666666,.6666666666666666,36,.0092743982260693,107.8237073311249
Kamina,127,27,100,6,6,9,9,.3333333333333333,.09,.6666666666666666,.6666666666666666,37,.010809321324348,92.51274617468349
Kadobogo,102,30,72,6,6,9,9,.3,.125,.6666666666666666,.6666666666666666,37,.0076410719706598,130.8716897105277
Nyarusange,139,39,100,6,6,9,9,.2307692307692308,.09,.6666666666666666,.6666666666666666,37,.0133563453145679,74.87078062509285
Mwasa,71,14,57,6,6,9,9,.6428571428571429,.1578947368421053,.6666666666666666,.6666666666666666,37,.0055289057348677,180.8676161167954
Kaneke,188,9,179,6,6,9,9,1,.0502793296089386,.6666666666666666,.6666666666666666,37,.00900776777029,111.0152954096202
Nyagisozi,85,11,74,6,6,9,9,.8181818181818182,.1216216216216216,.6666666666666666,.6666666666666666,41,.0068797903725557,145.3532659932661
Buhande,103,29,74,6,6,9,9,.3103448275862069,.1216216216216216,.6666666666666666,.6666666666666666,41,.0111605488265904,89.60132835201301
Ntunguru,153,11,142,6,6,9,9,.8181818181818182,.0633802816901408,.6666666666666666,.6666666666666666,41,.0123071805553497,81.25337850555209
Nkurura,88,7,81,6,6,7,9,1,.1111111111111111,.8571428571428571,.6666666666666666,41,.0093259380605755,107.2278191753603
Karambo(North),173,26,147,6,6,9,9,.3461538461538462,.0612244897959184,.6666666666666666,.6666666666666666,41,.0151355388196226,66.06966636057524
Bunyangezi,137,32,105,6,6,9,9,.28125,.0857142857142857,.6666666666666666,.6666666666666666,42,.0109382836008024,91.42202163478765
Rwakirari,149,30,119,6,6,9,9,.3,.0756302521008403,.6666666666666666,.6666666666666666,42,.0122570837512538,81.58547500319627
Gihinga,112,12,100,6,6,9,9,.75,.09,.6666666666666666,.6666666666666666,42,.0086885656970913,115.0937950937947
Ndegamire,111,4,107,4,8,4,11,1,.102803738317757,1,.7272727272727273,42,.0096970599297894,103.1240404040401
Bwanamo,160,17,143,6,6,9,9,.5294117647058824,.0629370629370629,.6666666666666666,.6666666666666666,42,.0145068016549649,68.93318208826229
Kabeza,112,12,100,6,6,9,9,.75,.09,.6666666666666666,.6666666666666666,42,.0076024949849549,131.5357658214795
Nkomero(North),275,24,251,6,6,9,9,.375,.0358565737051793,.6666666666666666,.6666666666666666,43,.0138329861181341,72.2909711222126
Cyivugiza,193,39,154,6,6,9,9,.2307692307692308,.0584415584415584,.6666666666666666,.6666666666666666,43,.009580442682524,104.3793103448271
Gitega,118,23,95,6,6,9,9,.391304347826087,.0947368421052632,.6666666666666666,.6666666666666666,43,.0070386925830788,142.0718390804602
Mubuga(N-Burera),124,31,93,6,6,9,9,.2903225806451613,.0967741935483871,.6666666666666666,.6666666666666666,44,.010529175268934,94.97420020639873
Karambi(North),41,0,41,0,12,0,15,,.3658536585365854,,.8,44,.0034635444963599,288.7215686274495
Kanyenzugi,123,17,106,6,6,9,9,.5294117647058824,.0849056603773585,.6666666666666666,.6666666666666666,44,.0084510485711181,118.3285117325621
Maya,93,10,83,6,6,9,9,.9,.108433734939759,.6666666666666666,.6666666666666666,44,.0121224057372596,82.49187675070021
Kabukoko,106,5,101,5,7,5,10,1,.099009900990099,1,.7,44,.0067192763229382,148.8255508388916
Sangano,82,8,74,6,6,8,9,1,.1216216216216216,.75,.6666666666666666,45,.0073500810670706,136.0529211684673
Mubuga(N-Gicumbi),142,33,109,6,6,9,9,.2727272727272727,.0825688073394495,.6666666666666666,.6666666666666666,45,.0084618580351989,118.1773548835595
Kirwa,98,16,82,6,6,9,9,.5625,.1097560975609756,.6666666666666666,.6666666666666666,45,.006176538711824,161.9029761904769
Kigaga,160,13,147,6,6,9,9,.6923076923076923,.0612244897959184,.6666666666666666,.6666666666666666,45,.0129089659077122,77.4655388471179
Ryamatebura,146,19,127,6,6,9,9,.4736842105263158,.0708661417322835,.6666666666666666,.6666666666666666,45,.0100059927131549,99.94010875955345
Rebero,79,36,43,6,6,9,9,.25,.2093023255813954,.6666666666666666,.6666666666666666,51,.0067891150481382,147.2946021549941
Shaburondo,184,82,102,6,6,9,9,.1097560975609756,.0882352941176471,.6666666666666666,.6666666666666666,51,.0156030538825633,64.09001773156204
Kabuye,150,48,102,6,6,9,9,.1875,.0882352941176471,.6666666666666666,.6666666666666666,51,.0124467109215867,80.34251026636044
Karama(East),133,98,35,6,6,9,9,.0918367346938776,.2571428571428571,.6666666666666666,.6666666666666666,51,.0092903679606102,107.6383631132646
Kamate,100,30,70,6,6,9,9,.3,.1285714285714286,.6666666666666666,.6666666666666666,52,.0045786782369139,218.4036414565823
Isangano,210,72,138,6,6,9,9,.125,.0652173913043478,.6666666666666666,.6666666666666666,52,.0116890962048272,85.54981347377687
Akabira,163,13,150,6,6,9,9,.6923076923076923,.06,.6666666666666666,.6666666666666666,52,.0095344240933383,104.8831046542916
Rwiju,124,31,93,6,6,9,9,.2903225806451613,.0967741935483871,.6666666666666666,.6666666666666666,52,.0077029527985728,129.8203463203461
Kabirizi,371,100,271,6,6,9,9,.09,.033210332103321,.6666666666666666,.6666666666666666,52,.0180992457365067,55.25092120181402
Kamasapfu,152,44,108,6,6,9,9,.2045454545454546,.0833333333333333,.6666666666666666,.6666666666666666,53,.0103500885569074,96.61753080678948
